Unnamed: 0,UnixTime,Row,QuestionKey,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight
0,1680003145.0289032,1,2Item7,2023-03-28 17:02:25.028903,824.0,462.0,880.0,490.0,-1.0,-1.0,372185.32000000007,581.07861328125,576.8860473632812,0.5998246669769287,0.4886953234672546,0.4404311776161193,0.4859859645366668,0.0,0.0
1,1680003145.0330384,2,2Item7,2023-03-28 17:02:25.033038,989.0,624.0,979.0,577.0,-1.0,-1.0,41.38800000003539,595.763671875,590.3285522460938,0.5838125348091125,0.4974606931209564,0.4272343516349792,0.4970405101776123,0.0,0.0
2,1680003145.0413597,3,2Item7,2023-03-28 17:02:25.041360,-1.0,-1.0,978.0,577.0,-1.0,2.5941925048828125,49.70900000003167,-1.0,590.2405395507812,-1.0,-1.0,0.4271744191646575,0.4971012771129608,4.0,0.0
3,1680003145.0498686,4,2Item7,2023-03-28 17:02:25.049869,960.0,579.0,981.0,575.0,-1.0,-1.0,58.21899999998277,595.9618530273438,590.1658325195312,0.5837234258651733,0.4975157082080841,0.4271576702594757,0.4971029460430145,0.0,0.0
4,1680003145.058035,5,2Item7,2023-03-28 17:02:25.058035,965.0,571.0,980.0,590.0,-1.0,-1.0,66.38199999998324,595.9856567382812,590.1910400390625,0.58384370803833,0.4975108802318573,0.4272339046001434,0.4970439672470092,0.0,0.0
5,1680003145.066389,6,2Item7,2023-03-28 17:02:25.066389,-1.0,-1.0,949.0,632.0,-1.0,2.7920379638671875,74.73999999999069,-1.0,590.2421264648438,-1.0,-1.0,0.4271810352802276,0.4971181154251098,4.0,0.0
6,1680003145.0747223,7,2Item7,2023-03-28 17:02:25.074722,959.0,579.0,997.0,588.0,-1.0,-1.0,83.07199999998556,595.9917602539064,590.1881713867188,0.5837041139602661,0.497529536485672,0.427146166563034,0.4971202611923217,0.0,0.0
7,1680003145.0830674,8,2Item7,2023-03-28 17:02:25.083067,977.0,580.0,1005.0,599.0,-1.0,-1.0,91.41700000001585,596.0133056640625,590.275390625,0.5837898254394531,0.497449904680252,0.4272176325321197,0.4970647096633911,0.0,0.0
8,1680003145.091371,9,2Item7,2023-03-28 17:02:25.091371,-1.0,-1.0,988.0,597.0,-1.0,2.615264892578125,99.72200000000883,-1.0,590.3998413085938,-1.0,-1.0,0.4271337389945983,0.4971322119235992,4.0,0.0
9,1680003145.099715,10,2Item7,2023-03-28 17:02:25.099715,972.0,567.0,985.0,585.0,-1.0,-1.0,108.06400000001304,596.0148315429688,590.4427490234375,0.5836766362190245,0.4975461661815643,0.4271142184734344,0.4971457719802856,0.0,0.0
10,1680003145.108025,11,2Item7,2023-03-28 17:02:25.108025,958.0,580.0,981.0,579.0,-1.0,-1.0,116.37599999998928,596.0362548828125,590.5840454101562,0.583809494972229,0.497573435306549,0.4271629452705383,0.4971490204334259,0.0,0.0
11,1680003145.1163616,12,2Item7,2023-03-28 17:02:25.116362,-1.0,-1.0,996.0,572.0,-1.0,2.6945953369140625,124.71199999999952,-1.0,590.7652587890625,-1.0,-1.0,0.4270689487457275,0.4971604645252227,4.0,0.0
12,1680003145.124689,13,2Item7,2023-03-28 17:02:25.124689,981.0,592.0,959.0,598.0,-1.0,-1.0,133.03899999998976,596.0413818359375,590.8564453125,0.5836198925971984,0.4975573420524597,0.4269860982894897,0.4971668124198913,0.0,0.0
13,1680003145.1330278,14,2Item7,2023-03-28 17:02:25.133028,964.0,590.0,949.0,610.0,-1.0,-1.0,141.37699999997858,596.0633544921875,591.0477294921875,0.5837506055831909,0.4975849092006683,0.4270926117897033,0.4971250891685485,0.0,0.0
14,1680003145.141358,15,2Item7,2023-03-28 17:02:25.141358,-1.0,-1.0,951.0,608.0,-1.0,2.6867828369140625,149.70699999999488,-1.0,591.2518310546875,-1.0,-1.0,0.4269874989986419,0.497166633605957,4.0,0.0
15,1680003145.1497033,16,2Item7,2023-03-28 17:02:25.149703,949.0,583.0,957.0,613.0,-1.0,-1.0,158.05400000000373,596.0694580078125,591.3521118164064,0.5835753679275512,0.4975930154323577,0.426952064037323,0.4971997737884521,0.0,0.0
16,1680003145.1580825,17,2Item7,2023-03-28 17:02:25.158082,935.0,583.0,950.0,614.0,-1.0,-1.0,166.4309999999823,596.0897827148438,591.5421752929688,0.583915889263153,0.4976393580436706,0.4272556900978088,0.4971989095211029,0.0,0.0
17,1680003145.1663685,18,2Item7,2023-03-28 17:02:25.166368,-1.0,-1.0,925.0,623.0,-1.0,2.693023681640625,174.7170000000042,-1.0,591.7283325195312,-1.0,-1.0,0.4273895621299743,0.4972899258136749,4.0,0.0
18,1680003145.1746848,19,2Item7,2023-03-28 17:02:25.174685,938.0,611.0,902.0,628.0,-1.0,-1.0,183.0350000000326,596.09521484375,591.7737426757812,0.5839265584945678,0.4977377951145172,0.4273384809494018,0.4973284304141998,0.0,0.0
19,1680003145.1830175,20,2Item7,2023-03-28 17:02:25.183018,920.0,610.0,891.0,600.0,-1.0,-1.0,191.3649999999907,596.1193237304688,591.8624267578125,0.5840556621551513,0.497733324766159,0.4274337291717529,0.4972677528858184,0.0,0.0
20,1680003145.191425,21,2Item7,2023-03-28 17:02:25.191425,906.0,625.0,891.0,600.0,2.500473022460937,2.757308959960937,199.774000000034,596.1737670898438,591.92138671875,0.5839883685112,0.4977362751960754,0.4273339807987213,0.4972926676273345,0.0,0.0
21,1680003145.199757,22,2Item7,2023-03-28 17:02:25.199757,880.0,610.0,889.0,594.0,-1.0,-1.0,208.10600000002887,596.1276245117188,591.8433227539064,0.5838728547096252,0.4977170825004577,0.4272783994674682,0.4973100125789642,0.0,0.0
22,1680003145.2080512,23,2Item7,2023-03-28 17:02:25.208051,873.0,629.0,885.0,627.0,-1.0,-1.0,216.40000000002328,596.1251220703125,591.827392578125,0.5840503573417662,0.497721791267395,0.427415132522583,0.497223287820816,0.0,0.0
