UnixTime,Row,QuestionKey,Timestamp,Gaze X,Gaze Y,Interpolated Gaze X,Interpolated Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,Fixation Index,Fixation Index by Stimulus,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,Saccade Index,Saccade Index by Stimulus,Saccade Start,Saccade End,Saccade Duration,Saccade Amplitude,Saccade Peak Velocity,Saccade Peak Acceleration,Saccade Peak Deceleration,Saccade Direction
1677153177.0280051,1,2Item7,2023-02-23 17:22:57.028005,901.0,521.5,900.666666666667,521.166666666667,633.096710205078,10.1855060157116,-6.74905429541047,1589.0,1588.0,898.72480620155,521.638888888889,500655.5331,501371.9982,291.577300000004,0.193628229284865,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.0336998,2,2Item7,2023-02-23 17:22:57.033700,984.0,563.5,972.0,547.166666666667,639.957550048828,4.90490011663013,-1208.70076290042,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.0420363,3,2Item7,2023-02-23 17:22:57.042037,962.0,531.5,976.333333333333,544.333333333333,639.999877929688,15.0207605657441,1213.41303502753,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.0503912,4,2Item7,2023-02-23 17:22:57.050391,983.0,538.0,971.666666666667,531.5,640.092498779297,14.3190564832187,-83.9891417436166,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.0587957,5,2Item7,2023-02-23 17:22:57.058795,970.0,525.0,976.5,529.333333333333,640.199737548828,7.06273550515846,-863.405753966453,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.0672412,6,2Item7,2023-02-23 17:22:57.067241,976.5,525.0,973.666666666667,524.333333333333,640.185485839844,9.44500150666478,282.068508413313,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.0753615,7,2Item7,2023-02-23 17:22:57.075361,974.5,523.0,967.0,527.0,640.223754882813,9.72322387758825,34.2621509929892,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.0837927,8,2Item7,2023-02-23 17:22:57.083793,950.0,533.0,964.666666666667,519.833333333333,641.371887207031,10.5552876954299,98.6886585351649,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.0920317,9,2Item7,2023-02-23 17:22:57.092032,969.5,503.5,963.166666666667,516.666666666667,640.231384277344,9.6672581987838,-107.783650521438,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.1004517,10,2Item7,2023-02-23 17:22:57.100451,970.0,513.5,973.5,524.666666666667,640.184387207031,16.7358262872964,839.53728069179,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.108697,11,2Item7,2023-02-23 17:22:57.108697,981.0,557.0,973.333333333333,530.833333333333,641.351806640625,7.34094026325175,-1139.39555200348,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.117019,12,2Item7,2023-02-23 17:22:57.117019,969.0,522.0,972.166666666667,532.166666666667,640.08251953125,10.5812122670835,389.362173015107,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.12536,13,2Item7,2023-02-23 17:22:57.125360,966.5,517.5,969.5,520.5,640.069152832031,10.1853021425393,-47.4655466423926,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.1336927,14,2Item7,2023-02-23 17:22:57.133693,973.0,522.0,968.166666666667,522.333333333333,638.773254394531,4.59894374346285,-670.405913867658,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.142297,15,2Item7,2023-02-23 17:22:57.142297,965.0,527.5,967.666666666667,525.0,640.038177490234,6.63935694259615,237.138779346757,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.1503532,16,2Item7,2023-02-23 17:22:57.150353,965.0,525.5,966.333333333333,515.666666666667,640.044250488281,13.6147322626509,865.839393269134,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.1587665,17,2Item7,2023-02-23 17:22:57.158766,969.0,494.0,967.0,511.0,641.568542480469,8.82421266959841,-569.411940075896,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.1670413,18,2Item7,2023-02-23 17:22:57.167041,967.0,513.5,969.5,507.0,640.029754638672,5.86438197271448,-357.679145494789,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.17536,19,2Item7,2023-02-23 17:22:57.175360,972.5,513.5,968.0,517.0,640.032897949219,16.6684428371685,1298.78355305628,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.1839468,20,2Item7,2023-02-23 17:22:57.183947,964.5,524.0,967.5,524.5,640.065795898438,12.0479396347429,-538.087459086002,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.192052,21,2Item7,2023-02-23 17:22:57.192052,965.5,536.0,966.666666666667,529.5,640.006622314453,7.95017358962685,-505.578715267675,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.2004366,22,2Item7,2023-02-23 17:22:57.200437,970.0,528.5,968.166666666667,532.666666666667,640.006378173828,4.52323625805396,-408.718046367493,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.2087264,23,2Item7,2023-02-23 17:22:57.208726,969.0,533.5,971.333333333333,530.166666666667,640.027618408203,6.35924431902809,221.480639947661,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.2170246,24,2Item7,2023-02-23 17:22:57.217025,975.0,528.5,974.333333333333,530.333333333333,639.951354980469,3.52497362636253,-341.552468326332,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.2255242,25,2Item7,2023-02-23 17:22:57.225524,979.0,529.0,971.833333333333,533.833333333333,639.940521240234,11.8425081163245,978.579520208241,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.233698,26,2Item7,2023-02-23 17:22:57.233698,961.5,544.0,970.833333333333,542.166666666667,639.932159423828,15.7668106317675,480.113353247982,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.2420208,27,2Item7,2023-02-23 17:22:57.242021,972.0,553.5,967.5,549.5,639.839202880859,8.62399315981266,-858.202267446218,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.2504394,28,2Item7,2023-02-23 17:22:57.250439,969.0,551.0,969.0,551.0,639.821319580078,10.1855060157116,-6.74905429541047,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.2587306,29,2Item7,2023-02-23 17:22:57.258731,901.0,521.5,900.666666666667,521.166666666667,633.096710205078,10.1855060157116,-6.74905429541047,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.267023,30,2Item7,2023-02-23 17:22:57.267023,974.5,541.0,974.5,541.0,639.761566162109,10.1855060157116,-6.74905429541047,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.275342,31,2Item7,2023-02-23 17:22:57.275342,976.0,541.5,972.833333333333,539.833333333333,639.774688720703,7.11202957791319,-6.74905429541047,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.283734,32,2Item7,2023-02-23 17:22:57.283734,968.0,537.0,973.333333333333,533.666666666667,641.670593261719,12.367485833946,626.23851670414,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.2920012,33,2Item7,2023-02-23 17:22:57.292001,976.0,522.5,975.333333333333,527.166666666667,639.745300292969,10.1017753580557,-274.063513915444,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.3003626,34,2Item7,2023-02-23 17:22:57.300363,982.0,522.0,969.666666666667,523.833333333333,639.767333984375,9.26784482783708,-99.7357536080768,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.3086903,35,2Item7,2023-02-23 17:22:57.308690,951.0,527.0,968.5,520.333333333333,641.5546875,7.02402959959287,-269.443204313873,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.317013,36,2Item7,2023-02-23 17:22:57.317013,972.5,512.0,967.5,516.833333333333,639.767150878906,6.10754587682711,-110.115911853532,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.3254297,37,2Item7,2023-02-23 17:22:57.325430,979.0,511.5,970.166666666667,514.166666666667,639.799377441406,8.6139954900032,297.798352443514,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.3337374,38,2Item7,2023-02-23 17:22:57.333737,959.0,519.0,976.5,516.666666666667,641.466552734375,11.1571583525662,306.124857066181,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.3400526,39,2Item7,2023-02-23 17:22:57.340053,901.0,521.5,900.666666666667,521.166666666667,633.096710205078,10.1855060157116,-6.74905429541047,1589.0,1588.0,898.72480620155,521.638888888889,500655.5331,501371.9982,291.577300000004,0.193628229284865,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.3420086,40,2Item7,2023-02-23 17:22:57.342009,991.5,519.5,979.0,521.666666666667,639.829772949219,15.3550930473669,507.536354434745,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.3505254,41,2Item7,2023-02-23 17:22:57.350525,986.5,526.5,990.666666666667,524.333333333333,639.882202148438,11.4481330881486,-458.730284401398,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.358798,42,2Item7,2023-02-23 17:22:57.358798,994.0,527.0,989.5,527.5,639.943756103516,18.5298912478093,856.049870616337,1.0,1588.0,971.755671936845,527.218315052701,21.24795,362.9446,341.69665,0.185622716973569,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.3670912,43,2Item7,2023-02-23 17:22:57.367091,988.0,529.0,972.5,530.5,639.921722412109,41.1242442269306,2724.44327631327,1589.0,1588.0,898.72480620155,521.638888888889,500655.5331,501371.9982,291.577300000004,0.193628229284865,2.0,1.0,362.9446,387.90995,24.9653499999999,0.865989276163944,51.974049578218,2724.44327631327,-1907.41918033272,179.823705850157
1677153177.3756769,44,2Item7,2023-02-23 17:22:57.375677,935.5,535.5,946.166666666667,529.5,639.973205566406,51.974049578218,1263.72127181413,1589.0,1588.0,898.72480620155,521.638888888889,500655.5331,501371.9982,291.577300000004,0.193628229284865,2.0,1.0,362.9446,387.90995,24.9653499999999,0.865989276163944,51.974049578218,2724.44327631327,-1907.41918033272,179.823705850157
1677153177.383766,45,2Item7,2023-02-23 17:22:57.383766,915.0,524.0,918.333333333333,530.666666666667,641.543579101563,36.5445543446705,-1907.41918033272,1589.0,1588.0,898.72480620155,521.638888888889,500655.5331,501371.9982,291.577300000004,0.193628229284865,2.0,1.0,362.9446,387.90995,24.9653499999999,0.865989276163944,51.974049578218,2724.44327631327,-1907.41918033272,179.823705850157
1677153177.3920538,46,2Item7,2023-02-23 17:22:57.392054,904.5,532.5,908.666666666667,529.333333333333,640.015625,12.5681488516801,-2892.94097334553,2.0,1.0,907.078138906764,553.966213519445,387.90995,704.47155,316.5616,0.177488554290922,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.400334,47,2Item7,2023-02-23 17:22:57.400334,906.5,531.5,905.666666666667,533.666666666667,640.044219970703,10.8448837243893,-208.121294101619,2.0,1.0,907.078138906764,553.966213519445,387.90995,704.47155,316.5616,0.177488554290922,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.4086914,48,2Item7,2023-02-23 17:22:57.408691,906.0,537.0,905.0,540.0,638.523376464844,13.3962156266175,305.278184869481,2.0,1.0,907.078138906764,553.966213519445,387.90995,704.47155,316.5616,0.177488554290922,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.4195206,49,2Item7,2023-02-23 17:22:57.419521,902.5,551.5,903.166666666667,549.5,640.020080566406,15.8702796307897,228.462306003417,2.0,1.0,907.078138906764,553.966213519445,387.90995,704.47155,316.5616,0.177488554290922,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.4254038,50,2Item7,2023-02-23 17:22:57.425404,901.0,560.0,894.5,552.833333333333,640.018829345703,18.1027663127715,379.461642612447,2.0,1.0,907.078138906764,553.966213519445,387.90995,704.47155,316.5616,0.177488554290922,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.4336803,51,2Item7,2023-02-23 17:22:57.433681,880.0,547.0,896.0,563.833333333333,641.721618652344,18.6422074062816,65.1766538808358,2.0,1.0,907.078138906764,553.966213519445,387.90995,704.47155,316.5616,0.177488554290922,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.442078,52,2Item7,2023-02-23 17:22:57.442078,907.0,584.5,898.0,572.0,639.974243164063,22.4839360298532,457.495697851877,2.0,1.0,907.078138906764,553.966213519445,387.90995,704.47155,316.5616,0.177488554290922,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
1677153177.450338,53,2Item7,2023-02-23 17:22:57.450338,907.0,584.5,907.0,584.5,639.9775390625,10.1855060157116,-6.74905429541047,2.0,1.0,907.078138906764,553.966213519445,387.90995,704.47155,316.5616,0.177488554290922,1859.0,1858.0,544618.5796,544685.17575,41.5080000001471,3.65386015316886,143.594708003164,6702.00705962899,-7993.40702627485,179.396189322737
